,source_id,source_name,company_name,ultimate_parent_name,country,lat,lon,ultimate_parent_id,company_id,percent_interest_parent,percent_interest_company,percent_company_datasource,percent_parent_datasource,ultimate_parent_revenue_annual (mil),created_date
4895,3164588,Alum Cave #17 Coal Mine,Lipari Energy,Lipari Energy,USA,37.251111,-82.945,100000131843,100000131843,100.0,100.0,{14205},{14205},900,49:34.1
4896,3164590,Ancient Sun Strip Saylor-McKinney Mine,Ancient Sun,Ancient Sun,USA,41.271667,-79.510833,100000131259,100000131259,100.0,100.0,{14206},{14206},5,49:34.1
4897,16397,Antelope Coal Mine,Navajo Nation,Navajo Nation,USA,43.494921,-105.361879,100001001090,100001001090,100.0,100.0,{14207},{14207},15632,49:34.0
4898,3164592,Antioch Coal Mine,Responsible Energy Ventures,Responsible Energy Ventures,USA,38.705278,-87.0875,100000132123,100000132123,100.0,100.0,{14208},{14208},16932,49:34.1
4899,3164593,Auger 11 Coal Mine,EE & S Auger Mining,EE & S Auger Mining,USA,41.092222,-78.342778,100000131556,100000131556,100.0,100.0,{14209},{14209},67,49:34.1
4900,3164594,Auger 3152 Coal Mine,EE & S Auger Mining,EE & S Auger Mining,USA,40.1325,-78.059167,100000131556,100000131556,100.0,100.0,{14210},{14210},67,49:34.1
4901,3164595,Auger A-1 Coal Mine,Denali Energy Group,Denali Energy Group,USA,37.251111,-82.945,100000131537,100000131537,100.0,100.0,{14211},{14211},59,49:34.1
4902,3164596,Auger No. 2 Coal Mine,Southeastern Coal,Southeastern Coal,USA,36.952778,-82.186111,100000132218,100000132218,100.0,100.0,{14212},{14212},725,49:34.1
4903,3164597,Auger No. 29 Coal Mine,New Age Mining,New Age Mining,USA,37.393611,-82.174167,100000131971,100000131971,100.0,100.0,{14213},{14213},31845,49:34.1
4904,3164601,BAM 3 Auger Coal Mine,Bundy Auger Mining,Bundy Auger Mining,USA,40.005833,-78.955,100000131446,100000131446,100.0,100.0,{14217},{14217},24,49:34.1
4905,3164602,BAM 7 Auger Coal Mine,Bundy Auger Mining,Bundy Auger Mining,USA,38.391667,-80.733889,100000131446,100000131446,100.0,100.0,{14218},{14218},24,49:34.1
4906,3164598,Baden #1 Mine,A&G Coal,A&G Coal,USA,37.138889,-82.522778,100000131207,100000131207,100.0,100.0,{14214},{14214},1300,49:34.1
4907,16398,Bailey Coal Mine,PA Mining Complex,CONSOL Energy,USA,39.9609,-80.4039,100001000653,100001010390,100.0,100.0,{14215},"{6956,14215}",56,49:34.0
4908,3164600,Bailey Creek Mine,Nally & Hamilton Enterprises,Nally & Hamilton Enterprises,USA,36.875,-83.176944,100000131963,100000131963,100.0,100.0,{14216},{14216},10,49:34.1
4909,3164603,Barrackville Coal Refuse Pile,LP Mineral,LP Mineral,USA,39.50948,-80.178919,100000131828,100000131828,100.0,100.0,{14219},{14219},24,49:34.1
4910,3164604,Barrett Coal Mine,Rosebud Mining,Rosebud Mining,USA,40.497624,-79.023851,100000132142,100000132142,100.0,100.0,{14220},{14220},115,49:34.1
4911,3164605,Beachley Strip Mine,Fieg Brothers,Fieg Brothers,USA,39.969722,-79.026389,100000131606,100000131606,100.0,100.0,{14221},{14221},3484,49:34.1
4912,16399,Bear Run Coal Mine,Peabody Bear Run Mining,Peabody Energy,USA,38.995173,-87.313929,100001000402,100001000888,100.0,100.0,{14222},"{5897,5905,14222}",7204,49:34.0
4913,3164608,Beckley Pocahontas Coal Mine,ICG Beckley,Arch Resources,USA,37.67,-81.37,100001000546,100001000548,100.0,100.0,{14223},"{5730,5731,14223}",290,49:34.1
4914,3164609,Beech Creek Surface Mine #2,FR Performance,FR Performance,USA,37.49,-82.135,100000131596,100000131596,100.0,100.0,{14224},{14224},692,49:34.1
4915,3164610,Beech Mountain Coal Mine,Knox Operating,Knox Operating,USA,38.683889,-80.128333,100000131806,100000131806,100.0,100.0,{14225},{14225},3057,49:34.1
4916,3164611,Bell Corp Mine,Bell,Bell,USA,40.763056,-76.033056,100000131366,100000131366,100.0,100.0,{14226},{14226},115,49:34.1
4917,3164612,Bell Resources Mine,Bell Resources,Bell Resources,USA,40.999167,-78.683056,100000131367,100000131367,100.0,100.0,{14227},{14227},570,49:34.1
4918,16400,Belle Ayr Coal Mine,Eagle Specialty Materials,Eagle Specialty Materials,USA,44.09744,-105.42811,100001010293,100001010293,100.0,100.0,{14228},{14228},80,49:34.0
4919,3164614,Berwind Coal Mine,Ramaco Resources,Ramaco Resources,USA,37.37,-81.65,100000132107,100000132107,100.0,100.0,{14229},{14229},26,49:34.1
4920,3164615,Beulah Coal Mine,Westmoreland Mining,Westmoreland Coal,USA,47.193353,-101.815601,100001000478,100001010346,100.0,100.0,{14230},{14230},62,49:34.1
4921,3164616,Big Mountain Anthracite #1 Pit,Big Mountain Anthracite,Big Mountain Anthracite,USA,40.763889,-76.647222,100000131385,100000131385,100.0,100.0,{14231},{14231},2956,49:34.1
4922,3164617,Big Pine Mine,Fieg Brothers,Fieg Brothers,USA,39.988889,-78.875833,100000131606,100000131606,100.0,100.0,{14232},{14232},3484,49:34.1
4923,3164618,Black Butte And Leucite Hills Coal Mines,Andarko Petroleum,Andarko Petroleum,USA,41.62,-108.67,100000131261,100000131261,50.0,50.0,{14233},{14233},11,49:34.1
4924,3164618,Black Butte And Leucite Hills Coal Mines,Lighthouse Resources,Lighthouse Resources,USA,41.62,-108.67,100000131840,100000131840,50.0,50.0,{14233},{14233},344,49:34.1
4925,3164619,Black Castle Coal Mine,Contura Energy,Contura Energy,USA,38.01,-81.57,100000131516,100000131516,100.0,100.0,{14234},{14234},80,49:34.1
4926,3164620,Black Eagle Coal Mine,Alpha Metallurgical Resources,Alpha Metallurgical Resources,USA,37.956944,-81.539722,100000131246,100000131246,100.0,100.0,{14235},{14235},4139,49:34.1
4927,3164621,Black Hawk Coal Mine,Knight Hawk Coal,Knight Hawk Coal,USA,38.089444,-89.600555,100001000545,100001000545,100.0,100.0,{14236},"{5939,14236}",339,49:34.1
4928,16401,Black Thunder Coal Mine,Thunder Basin Coal Company,Arch Resources,USA,43.66,-105.3,100001000546,100001000549,100.0,100.0,{14237},"{5730,5732,14237}",290,49:34.0
4929,3164623,Black Warrior Mine No. 1,Black Warrior Minerals,Black Warrior Minerals,USA,33.786852,-87.087947,100000131398,100000131398,100.0,100.0,{14238},{14238},40,49:34.1
4930,3164624,Blackberry #1 Coal Mine,Prosper Energy,Prosper Energy,USA,37.534722,-82.224167,100000132077,100000132077,100.0,100.0,{14239},{14239},1500,49:34.1
