,country,year,gas,emissions_quantity tonnes
145,AIA,2020,ch4,0.0
146,AIA,2020,co2,0.0
147,AIA,2020,co2e_100yr,0.0
148,AIA,2020,co2e_20yr,0.0
149,AIA,2020,n2o,0.0
150,AIA,2021,ch4,0.0
151,AIA,2021,co2,0.0
152,AIA,2021,co2e_100yr,0.0
153,AIA,2021,co2e_20yr,0.0
154,AIA,2021,n2o,0.0
155,AIA,2022,ch4,0.0
156,AIA,2022,co2,0.0
157,AIA,2022,co2e_100yr,0.0
158,AIA,2022,co2e_20yr,0.0
159,AIA,2022,n2o,0.0
160,ALA,2015,ch4,0.0
161,ALA,2015,co2,0.0
162,ALA,2015,co2e_100yr,0.0
163,ALA,2015,co2e_20yr,0.0
164,ALA,2015,n2o,0.0
165,ALA,2016,ch4,0.0
166,ALA,2016,co2,0.0
167,ALA,2016,co2e_100yr,0.0
168,ALA,2016,co2e_20yr,0.0
169,ALA,2016,n2o,0.0
170,ALA,2017,ch4,0.0
171,ALA,2017,co2,0.0
172,ALA,2017,co2e_100yr,0.0
173,ALA,2017,co2e_20yr,0.0
174,ALA,2017,n2o,0.0
175,ALA,2018,ch4,0.0
176,ALA,2018,co2,0.0
177,ALA,2018,co2e_100yr,0.0
178,ALA,2018,co2e_20yr,0.0
179,ALA,2018,n2o,0.0
180,ALA,2019,ch4,0.0
181,ALA,2019,co2,0.0
182,ALA,2019,co2e_100yr,0.0
183,ALA,2019,co2e_20yr,0.0
184,ALA,2019,n2o,0.0
185,ALA,2020,ch4,0.0
186,ALA,2020,co2,0.0
187,ALA,2020,co2e_100yr,0.0
188,ALA,2020,co2e_20yr,0.0
189,ALA,2020,n2o,0.0
190,ALA,2021,ch4,0.0
191,ALA,2021,co2,0.0
192,ALA,2021,co2e_100yr,0.0
193,ALA,2021,co2e_20yr,0.0
194,ALA,2021,n2o,0.0
195,ALA,2022,ch4,0.0
196,ALA,2022,co2,0.0
197,ALA,2022,co2e_100yr,0.0
198,ALA,2022,co2e_20yr,0.0
199,ALA,2022,n2o,0.0
200,ALB,2015,ch4,656.498673740053
201,ALB,2015,co2,0.0
202,ALB,2015,co2e_100yr,18381.962864721485
203,ALB,2015,co2e_20yr,55145.888594164455
204,ALB,2015,n2o,0.0
205,ALB,2016,ch4,656.498673740053
206,ALB,2016,co2,0.0
207,ALB,2016,co2e_100yr,18381.962864721485
208,ALB,2016,co2e_20yr,55145.888594164455
209,ALB,2016,n2o,0.0
210,ALB,2017,ch4,656.498673740053
211,ALB,2017,co2,0.0
212,ALB,2017,co2e_100yr,18381.962864721485
213,ALB,2017,co2e_20yr,55145.888594164455
214,ALB,2017,n2o,0.0
215,ALB,2018,ch4,656.498673740053
216,ALB,2018,co2,0.0
217,ALB,2018,co2e_100yr,18381.962864721485
218,ALB,2018,co2e_20yr,55145.888594164455
219,ALB,2018,n2o,0.0
220,ALB,2019,ch4,656.498673740053
221,ALB,2019,co2,0.0
222,ALB,2019,co2e_100yr,18381.962864721485
223,ALB,2019,co2e_20yr,55145.888594164455
224,ALB,2019,n2o,0.0
225,ALB,2020,ch4,656.498673740053
226,ALB,2020,co2,0.0
227,ALB,2020,co2e_100yr,18381.962864721485
228,ALB,2020,co2e_20yr,55145.888594164455
229,ALB,2020,n2o,0.0
230,ALB,2021,ch4,656.498673740053
231,ALB,2021,co2,0.0
232,ALB,2021,co2e_100yr,18381.962864721485
233,ALB,2021,co2e_20yr,55145.888594164455
234,ALB,2021,n2o,0.0
235,ALB,2022,ch4,656.498673740053
236,ALB,2022,co2,0.0
237,ALB,2022,co2e_100yr,18381.962864721485
238,ALB,2022,co2e_20yr,55145.888594164455
239,ALB,2022,n2o,0.0
240,AND,2015,ch4,0.0
241,AND,2015,co2,0.0
242,AND,2015,co2e_100yr,0.0
243,AND,2015,co2e_20yr,0.0
244,AND,2015,n2o,0.0
245,AND,2016,ch4,0.0
246,AND,2016,co2,0.0
247,AND,2016,co2e_100yr,0.0
248,AND,2016,co2e_20yr,0.0
249,AND,2016,n2o,0.0
250,AND,2017,ch4,0.0
251,AND,2017,co2,0.0
252,AND,2017,co2e_100yr,0.0
253,AND,2017,co2e_20yr,0.0
254,AND,2017,n2o,0.0
255,AND,2018,ch4,0.0
256,AND,2018,co2,0.0
257,AND,2018,co2e_100yr,0.0
258,AND,2018,co2e_20yr,0.0
259,AND,2018,n2o,0.0
260,AND,2019,ch4,0.0
261,AND,2019,co2,0.0
262,AND,2019,co2e_100yr,0.0
263,AND,2019,co2e_20yr,0.0
264,AND,2019,n2o,0.0
265,AND,2020,ch4,0.0
266,AND,2020,co2,0.0
